Ticker,Return Rate of MA05,Return Rate of MA10,Return Rate of MA20,Return Rate of MonthlySIP,Return Rate of WeeklySIP,Distance of Close2BBLowerLim,Return Rate of MA5CrossMA10,Return Rate of MA05_WoSell,Return Rate of MA10_WoSell,Return Rate of MA20_WoSell,Return Rate of MA05CrossMA10_WoSell,Return Rate of MA10CrossMA20_WoSell,Return Rate of MACD,Return Rate of BB
MAS,19.13375488672137,15.824707999405494,3.2956739936957025,3.134586267196388,2.8010948455949736,0.052403497435028965,4.4713943334518245,2.695474115471735,2.4182233929610404,3.8596713027175356,2.8512439235657983,1.4523624113293696,4.155199872901457,12.607683501509701
MBGYY,-24.572813036948684,-23.047755316625377,-17.131930785946622,-10.917481603540484,-10.989392369182882,0.05603721418334957,-13.5551544442722,-10.592195780547074,-11.069893498019896,-13.191598612680785,-13.381658396001125,-8.590788375311144,-5.569103595615027,-24.01883833588977
MCD,-2.5824685176367703,-3.0871564940283243,1.6331783233860273,4.486170028856995,4.74328834338942,0.06191369667249137,-2.534769705132466,4.680826322270239,4.5315254324789205,6.755620841043189,5.4104594659085885,6.661812912457645,-2.72281440814555,-6.963150954539275
MCHP,-42.70159393798934,-31.879816703807407,-36.03543030877764,-32.40706259300509,-32.26757433131441,0.011261205614230461,-20.559922725926818,-35.07391769537657,-33.96905702753858,-35.65579644990258,-32.97614526549094,-35.31537230953506,-32.765474381308444,-29.396010918252983
MCK,10.17536880210308,1.4808050255166463,8.536146980312322,7.23214046408009,7.477381854423673,0.027959066298676682,-2.2928082783098582,7.560332494632473,7.8596283876876365,9.082012889100383,8.625628634525187,6.306595438899758,11.697041850536767,-0.431091996346518
MCO,22.87130879634982,16.734371721662963,17.603470046608034,15.72114183571103,15.022608433681285,0.10367334307382156,9.382298312973324,15.88285038517008,14.531895703544587,12.614836200484389,13.730087198859431,10.076151721854453,15.923373841609425,20.480096580014347
MDLZ,-11.231583268271002,-5.550751891293262,1.769698028501461,-13.48822666004565,-12.950116158097808,0.04737584084344348,-5.5061564371690865,-12.943269865826462,-11.640168103240212,-10.409279290160043,-12.203269664110364,-9.820157664839725,-11.072573993076846,-19.60835096315416
MDT,-0.7977422755203176,9.105728365198415,8.232262948070588,6.392211920054017,6.908304858107255,0.09566695614864414,10.105240082466278,7.529850081577403,7.628040307440326,5.086718422419056,7.6105833469576485,6.241834136187407,12.137709179533749,21.63076304892931
MET,19.116244960111985,14.490020183461569,-0.06165948111638749,10.511628959334862,10.315128971964704,0.028000490844402013,6.832141764430727,9.858400685041165,11.875039927890189,12.612417581940106,9.556530834375273,10.39654182154273,15.023914085309078,48.47179697305794
META,16.621088459332316,51.456290821696186,9.577183379103198,36.09807265148209,35.17620184297852,0.2466585877614727,12.692349618775081,37.411249792818715,36.71890369986706,32.133380762746306,33.025580198870124,30.30077628976795,22.27533779778446,52.30191225697091
MGM,-13.159743638156632,-6.312619348622037,0.6169394823789818,-11.800876416140897,-11.704685367797616,0.08353696344116528,1.1332008203953592,-11.053365942133457,-10.67823172726823,-12.18115426371603,-13.160671800785517,-10.653295298812516,-1.6072692855542896,3.1758600624311106
MHK,12.199547603339704,9.841706858041398,-1.7158881856332766,-5.854566181939848,-6.405996347741619,0.0313701671949587,-7.911399386146078,-4.711523391873657,-6.382352984875812,-9.649821189106508,-9.345970923654873,-12.923069258791072,-1.5123393719196654,4.422225766698594
MKC,10.477331827876075,16.59098662878805,24.867952870402092,4.279361474049478,4.6574668768115695,0.11391663940955747,24.998525522538937,4.512961994403319,3.3958870505863277,4.721932094373854,5.667183204583768,4.209917147689031,22.971525208302367,4.83838733127386
MKTX,-26.540925795699046,-22.02958952134396,14.314275735622765,-10.885559214445603,-11.657602616590239,0.0005375345825448871,-1.1948452959936888,-11.825029947564058,-9.889479523592911,-9.00591907722032,-8.73596074836275,-9.694681030439222,-13.905679451741976,-22.517575047059356
MLM,0.8247044388505576,-1.0934927100961127,-8.85927125412618,-3.4123011088997535,-3.690995036061992,0.04870671665385069,-22.42864250729351,-3.9353341825100063,-4.285098629120438,-5.9016106577131495,-6.1300756099521045,-5.257016264849868,8.645295569910386,-2.997652408901713
MMC,5.822507461951309,3.8365949985767314,4.368097120712322,6.721671895800613,6.309100674175587,0.08931495925069022,4.913725071118475,5.3253725259592715,6.54126822678671,5.8885952536603785,6.009578656440998,6.233457990545374,4.344940305315611,2.159103244245884
MMM,39.75146442928252,40.95631866296495,46.625244062179725,37.2143754844558,35.50698999664422,0.1298922804147593,58.981847824650224,38.29127212514029,39.30645254377524,27.10505184909212,38.41144496353085,33.672795135095036,21.617817988040684,1.746176084570563
MNST,1.0392171122224911,-5.601181865272745,-3.3434615655804385,-11.43599382810956,-10.964282330317277,0.011903979955799403,-1.9194135979148124,-10.482112776209815,-8.960063315746341,-10.031979505528236,-10.656658001722635,-10.035519795021942,-12.424237596513162,-2.0071105434652066
MO,22.789039488414645,25.075115477843894,33.84220667178173,9.548468192324016,9.265424595008996,0.046605518840573824,32.781645810336556,8.457911866569475,8.483057630940085,9.71104262723026,9.90616617021796,8.172498380762942,35.290378077311566,11.630995610724158
MOH,-29.691337125253142,-41.988729995341124,-30.69255057590386,-15.357094082117706,-13.859054080997598,0.03157031043290046,-27.954921480909377,-12.44963681352724,-12.438460038475311,-9.954104389238946,-12.710325371992221,-15.56438818977326,-14.981129446795324,-16.750595453111185
MOS,-17.88231624583849,-21.50661125588182,-33.63171727672506,-5.72013757540356,-4.192643822700921,0.049304797990707784,-14.809002567861324,-4.876867025477996,-5.0371532512969095,-4.085055105329899,-4.285951440765009,-3.852766847134095,-28.416058459639594,6.9364321623322125
MPC,-8.894200463209897,-4.169232926786722,-18.226499407805594,-9.482812740433394,-9.683075700437662,0.04652812718525531,1.0960190217502053,-10.960794436112561,-10.154149704825725,-8.686082192236585,-10.274082539329529,-7.739041398911303,3.924805952940249,-4.865062453429693
MPWR,-43.63426399003989,-36.525031980008634,-34.677555217008134,1.0055918081719883,-0.7612346259947874,0.28763003138144155,-21.1762047418741,-3.0037047602869205,-1.9453311566946865,-1.9399563068258765,-0.3363046740073411,1.2402363287137852,16.479227281024976,-16.472152474567775
